#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1519689784        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689794        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
1519689804        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
1519689814        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689825        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689835        21.959500         17.034700         21.209600         16.331600         0.000000          166.554000        21.209600        
1519689845        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689855        21.959500         17.034700         21.209600         16.331600         0.000000          166.555000        21.209600        
1519689865        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689875        21.959500         17.034700         21.209600         16.331600         0.000000          166.555000        21.209600        
1519689886        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
1519689896        21.959500         17.034700         21.209600         16.331600         0.000000          166.554000        21.209600        
1519689906        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689916        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689926        21.959500         17.034700         21.209600         16.331600         0.000000          166.558000        21.209600        
1519689936        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689946        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689957        21.959500         17.034700         21.209600         16.331600         0.000000          166.553000        21.209600        
1519689967        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
1519689977        21.959500         17.034700         21.209600         16.331600         0.000000          166.556000        21.209600        
1519689987        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
1519689997        21.959500         17.034700         21.209600         16.331600         0.000000          166.555000        21.209600        
1519690007        21.959500         17.034700         21.209600         16.331600         0.000000          166.557000        21.209600        
1519690018        21.959500         17.034700         21.209600         16.331600         0.000000          166.555000        21.209600        
1519690028        21.959500         17.034700         21.209600         16.331600         0.000000          166.559000        21.209600        
